名称,CAS,分子式,摩尔质量 (g/mol),密度 (g/mL),纯度 (%),熔点 (℃),沸点 (℃),相态,类别,备注
水,7732-18-5,H2O,18.02,1.00,,0,100,液,溶剂,密度按 20 ℃ 取 1.00
甲醇,67-56-1,CH4O,32.04,0.791,,-97.6,64.7,液,溶剂,有毒，误饮致盲
乙醇（无水）,64-17-5,C2H6O,46.07,0.789,,-114.1,78.3,液,溶剂,市售 95 % 为共沸物，纯度按瓶签回填
异丙醇,67-63-0,C3H8O,60.10,0.786,,-89.5,82.4,液,溶剂,
正丁醇,71-36-3,C4H10O,74.12,0.810,,-89.8,117.7,液,溶剂,
乙二醇,107-21-1,C2H6O2,62.07,1.113,,-12.9,197.3,液,溶剂,高沸；防冻液主料
甘油,56-81-5,C3H8O3,92.09,1.261,,17.8,290,液,溶剂,极黏稠；290 ℃ 伴分解
丙酮,67-64-1,C3H6O,58.08,0.791,,-94.7,56.1,液,溶剂,低沸易燃
2-丁酮,78-93-3,C4H8O,72.11,0.805,,-86,79.6,液,溶剂,
乙酸乙酯,141-78-6,C4H8O2,88.11,0.902,,-83.6,77.1,液,溶剂,
乙酸丁酯,123-86-4,C6H12O2,116.16,0.882,,-78,126.1,液,溶剂,
乙醚,60-29-7,C4H10O,74.12,0.713,,-116.3,34.6,液,溶剂,极易燃；久置生过氧化物
甲基叔丁基醚,1634-04-4,C5H12O,88.15,0.740,,-108.6,55.2,液,溶剂,常替代乙醚，不易生过氧化物
四氢呋喃,109-99-9,C4H8O,72.11,0.889,,-108.4,66.0,液,溶剂,久置生过氧化物
2-甲基四氢呋喃,96-47-9,C5H10O,86.13,0.854,,-136,80.2,液,溶剂,与水部分互溶，萃取可代 THF
"1,4-二氧六环",123-91-1,C4H8O2,88.11,1.033,,11.8,101.1,液,溶剂,熔点 11.8 ℃，冬天会冻住
二氯甲烷,75-09-2,CH2Cl2,84.93,1.325,,-95,39.6,液,溶剂,低沸不燃
氯仿,67-66-3,CHCl3,119.38,1.489,,-63.5,61.2,液,溶剂,避光；市售常加乙醇稳定
"1,2-二氯乙烷",107-06-2,C2H4Cl2,98.96,1.253,,-35.7,83.5,液,溶剂,
甲苯,108-88-3,C7H8,92.14,0.867,,-95,110.6,液,溶剂,
苯,71-43-2,C6H6,78.11,0.877,,5.5,80.1,液,溶剂,一类致癌物，能用甲苯就不用苯
正己烷,110-54-3,C6H14,86.18,0.659,,-95.3,68.7,液,溶剂,
正庚烷,142-82-5,C7H16,100.20,0.684,,-90.6,98.4,液,溶剂,
环己烷,110-82-7,C6H12,84.16,0.779,,6.5,80.7,液,溶剂,熔点 6.5 ℃，冷库里会冻
乙腈,75-05-8,C2H3N,41.05,0.786,,,81.6,液,溶剂,
"N,N-二甲基甲酰胺",68-12-2,C3H7NO,73.09,0.944,,-60.4,153,液,溶剂,高沸难旋干
"N,N-二甲基乙酰胺",127-19-5,C4H9NO,87.12,0.937,,-20,165,液,溶剂,
二甲基亚砜,67-68-5,C2H6OS,78.13,1.100,,18.5,189,液,溶剂,熔点 18.5 ℃，冬天会冻住
N-甲基吡咯烷酮,872-50-4,C5H9NO,99.13,1.028,,-24,202,液,溶剂,
吡啶,110-86-1,C5H5N,79.10,0.982,,-41.6,115.2,液,溶剂,恶臭；也作弱碱
甲酸,64-18-6,CH2O2,46.03,1.220,,8.4,100.8,液,有机酸,熔点 8.4 ℃，冬天会冻
冰乙酸,64-19-7,C2H4O2,60.05,1.049,,16.6,117.9,液,有机酸,16.6 ℃ 以下结冰，故称冰醋酸
三氟乙酸,76-05-1,C2HF3O2,114.02,1.489,,-15,72.4,液,有机酸,强酸性，腐蚀
对甲苯磺酸一水合物,6192-52-5,C7H8O3S·H2O,190.22,,,,,固,有机酸,常用酸催化剂；摩尔质量含一个结晶水
甲磺酸,75-75-2,CH4O3S,96.11,1.481,,,,液,有机酸,室温附近会凝固
盐酸（浓，约 37 %）,7647-01-0,HCl,36.46,1.19,37,,,液,无机酸,市售浓品；纯度密度按 37 % 计，以瓶签为准
硫酸（浓，约 98 %）,7664-93-9,H2SO4,98.08,1.84,98,,,液,无机酸,稀释时酸入水；纯度密度按 98 % 计，以瓶签为准
硝酸（浓，约 65 %）,7697-37-2,HNO3,63.01,1.40,65,,,液,无机酸,纯度密度按 65 % 计，以瓶签为准；发烟硝酸另计
磷酸（约 85 %）,7664-38-2,H3PO4,98.00,1.69,85,,,液,无机酸,纯度密度按 85 % 计，以瓶签为准
氢溴酸（约 48 %）,10035-10-6,HBr,80.91,1.49,48,,,液,无机酸,纯度密度按 48 % 计，以瓶签为准
氢氧化钠,1310-73-2,NaOH,40.00,2.13,,318,,固,碱,强吸潮；配液大量放热
氢氧化钾,1310-58-3,KOH,56.11,2.04,,360,,固,碱,强吸潮
氨水（约 25 %）,1336-21-6,NH3,17.03,0.91,25,,,液,碱,摩尔质量按 NH3 计；纯度密度按 25 % 计，以瓶签为准
碳酸钾,584-08-7,K2CO3,138.21,2.43,,891,,固,碱,常用弱碱
碳酸钠,497-19-8,Na2CO3,105.99,2.54,,851,,固,碱,
碳酸氢钠,144-55-8,NaHCO3,84.01,2.20,,,,固,碱,受热分解，无真熔点
三乙胺,121-44-8,C6H15N,101.19,0.726,,-114.7,89,液,碱,常用有机碱
"N,N-二异丙基乙胺",7087-68-5,C8H19N,129.25,0.742,,,127,液,碱,位阻碱（DIPEA）
"DBU（1,8-二氮杂二环[5.4.0]十一碳-7-烯）",6674-22-2,C9H16N2,152.24,1.018,,,,液,碱,强非亲核碱
4-二甲氨基吡啶,1122-58-3,C7H10N2,122.17,,,,,固,碱,酰化催化剂（DMAP）
咪唑,288-32-4,C3H4N2,68.08,,,89.5,,固,碱,硅醚保护常用
叔丁醇钾,865-47-4,C4H9KO,112.21,,,,,固,碱,遇水剧烈反应，惰性气氛下用
氢化钠（60 % 矿物油分散体）,7646-69-7,NaH,24.00,,60,,,固,碱,遇水放氢起火；纯度按 60 % 分散体计
氯化钠,7647-14-5,NaCl,58.44,2.17,,801,,固,无机盐,饱和食盐水洗涤用
氯化铵,12125-02-9,NH4Cl,53.49,,,,,固,无机盐,受热升华分解；淬灭洗涤用
无水硫酸钠,7757-82-6,Na2SO4,142.04,,,884,,固,无机盐,干燥剂
无水硫酸镁,7487-88-9,MgSO4,120.37,,,,,固,无机盐,干燥剂，吸水快
硫代硫酸钠五水合物,10102-17-7,Na2S2O3·5H2O,248.18,,,,,固,无机盐,除碘、除过氧化物
苯胺,62-53-3,C6H7N,93.13,1.022,,-6.3,184.1,液,试剂,有毒可经皮吸收；久置变色
乙酸酐,108-24-7,C4H6O3,102.09,1.082,,-73.1,139.8,液,试剂,遇水放热水解为乙酸
乙酰苯胺,103-84-4,C8H9NO,135.16,,,114.3,,固,试剂,乙酰化模型产物
